ID	ran_in_way_pipeline	ClusterK2_kmeans	ClusterK3_kmeans	ClusterK4_kmeans	ClusterK2_NMF	ClusterK3_NMF	ClusterK4_NMF	ClusterK4_kmeans_TCGA_names	external_HGSCsubtype_estimate
Sample_19291X169	True	1.0	1.0	1.0	1.0	2.0	4.0	Mesenchymal	
Sample_19291X171	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X172	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X173	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X174	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X176	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X177	True	2.0	2.0	2.0	2.0	2.0	4.0	Proliferative	
Sample_19291X178	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X179	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X180	True	1.0	3.0	3.0	2.0	1.0	3.0	Immunoreactive	
Sample_19291X181	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X182	True	1.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X183	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X185	True	2.0	2.0	2.0	2.0	3.0	3.0	Proliferative	
Sample_19291X186	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X187	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X188	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X189	True	2.0	2.0	2.0	2.0	3.0	4.0	Proliferative	
Sample_19291X191	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X192	True	2.0	2.0	2.0	2.0	3.0	3.0	Proliferative	
Sample_19291X193	True	1.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X194	True	1.0	1.0	3.0	1.0	1.0	3.0	Immunoreactive	
Sample_19291X198	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X199	True	1.0	1.0	1.0	2.0	3.0	3.0	Mesenchymal	
Sample_19291X200	True	1.0	1.0	1.0	1.0	2.0	2.0	Mesenchymal	
Sample_19291X201	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X202	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X203	True	1.0	1.0	3.0	2.0	1.0	3.0	Immunoreactive	
Sample_19291X204	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X205	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X206	True	1.0	3.0	4.0	2.0	3.0	4.0	Differentiated	
Sample_19291X207	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X208	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X209	True	1.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_19291X210	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X211	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X212	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X213	True	1.0	2.0	2.0	1.0	2.0	4.0	Proliferative	
Sample_19291X214	True	1.0	1.0	1.0	1.0	1.0	4.0	Mesenchymal	
Sample_19291X215	True	1.0	1.0	1.0	2.0	1.0	3.0	Mesenchymal	
Sample_19291X216	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X217	True	1.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X220	True	2.0	2.0	2.0	2.0	2.0	4.0	Proliferative	
Sample_19291X221	True	1.0	3.0	3.0	2.0	1.0	3.0	Immunoreactive	
Sample_19291X222	True	1.0	1.0	3.0	2.0	1.0	3.0	Immunoreactive	
Sample_19291X223	True	2.0	2.0	2.0	2.0	3.0	4.0	Proliferative	
Sample_19291X226	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X227	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X228	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X229	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_19291X230	True	1.0	3.0	3.0	2.0	1.0	3.0	Immunoreactive	
Sample_19291X231	True	1.0	2.0	2.0	1.0	2.0	4.0	Proliferative	
Sample_19291X232	True	2.0	2.0	2.0	2.0	3.0	4.0	Proliferative	
Sample_19291X234	True	1.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_19291X235	True	1.0	1.0	3.0	1.0	1.0	3.0	Immunoreactive	
Sample_19291X237	True	2.0	2.0	4.0	2.0	3.0	4.0	Differentiated	
Sample_19291X238	True	2.0	2.0	4.0	2.0	3.0	4.0	Differentiated	
Sample_19291X239	True	2.0	2.0	2.0	1.0	2.0	4.0	Proliferative	
Sample_19291X240	True	2.0	2.0	2.0	2.0	3.0	4.0	Proliferative	
Sample_19291X241	True	1.0	3.0	3.0	2.0	1.0	3.0	Immunoreactive	
Sample_19291X242	True	2.0	2.0	2.0	1.0	2.0	4.0	Proliferative	
Sample_19291X243	True	1.0	1.0	3.0	2.0	1.0	3.0	Immunoreactive	
Sample_19291X244	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X245	True	2.0	2.0	2.0	2.0	3.0	3.0	Proliferative	
Sample_19291X246	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X247	True	1.0	1.0	1.0	2.0	3.0	3.0	Mesenchymal	
Sample_19291X248	True	2.0	2.0	2.0	2.0	3.0	4.0	Proliferative	
Sample_19291X249	True	2.0	2.0	2.0	2.0	2.0	4.0	Proliferative	
Sample_19291X251	True	1.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X252	True	2.0	3.0	4.0	2.0	3.0	4.0	Differentiated	
Sample_19291X254	True	2.0	2.0	2.0	2.0	2.0	4.0	Proliferative	
Sample_19291X255	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X258	True	2.0	2.0	4.0	2.0	3.0	4.0	Differentiated	
Sample_19291X259	True	1.0	1.0	3.0	1.0	1.0	3.0	Immunoreactive	
Sample_19291X260	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X261	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_19291X264	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X265	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X266	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X267	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X268	True	1.0	3.0	3.0	2.0	1.0	3.0	Immunoreactive	
Sample_19291X269	True	1.0	1.0	1.0	1.0	1.0	2.0	Mesenchymal	
Sample_19291X270	True	2.0	2.0	2.0	1.0	2.0	4.0	Proliferative	
Sample_19291X271	True	1.0	1.0	1.0	1.0	2.0	4.0	Mesenchymal	
Sample_19291X272	True	1.0	1.0	1.0	1.0	2.0	2.0	Mesenchymal	
Sample_19291X273	True	1.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X274	True	1.0	1.0	3.0	2.0	1.0	3.0	Immunoreactive	
