ID	ran_in_way_pipeline	ClusterK2_kmeans	ClusterK3_kmeans	ClusterK4_kmeans	ClusterK2_NMF	ClusterK3_NMF	ClusterK4_NMF	ClusterK4_kmeans_TCGA_names	external_HGSCsubtype_estimate
Sample_20160X189	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X181	True	1.0	1.0	4.0	2.0	1.0	3.0	Differentiated	
Sample_20160X70	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_18341X24	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	C5.PRO
Sample_20160X190	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X223	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_18341X6	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	C2.IMM
Sample_20160X250	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X251	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X269	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X47	True	1.0	1.0	1.0	2.0	2.0	2.0	Mesenchymal	
Sample_20160X252	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X224	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_18341X25	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	C2.IMM
Sample_20160X253	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_20160X254	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_20160X225	True	1.0	1.0	1.0	2.0	1.0	3.0	Mesenchymal	
Sample_20160X191	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X205	True	1.0	1.0	1.0	2.0	3.0	3.0	Mesenchymal	
Sample_20160X71	True	1.0	1.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X72	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X192	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X193	True	2.0	2.0	4.0	1.0	2.0	4.0	Differentiated	
Sample_20160X194	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X195	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X226	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X283	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X73	True	1.0	1.0	1.0	2.0	2.0	2.0	Mesenchymal	
Sample_20160X227	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X281	True	2.0	3.0	3.0	1.0	3.0	2.0	Immunoreactive	
Sample_20160X228	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X229	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X279	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X74	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X146	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X48	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X196	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X49	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X270	True	1.0	2.0	4.0	2.0	1.0	3.0	Differentiated	
Sample_20160X271	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X101	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X50	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X277	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X230	True	1.0	1.0	4.0	2.0	1.0	4.0	Differentiated	
Sample_20160X231	True	2.0	3.0	2.0	1.0	3.0	2.0	Proliferative	
Sample_20160X232	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X272	True	1.0	1.0	4.0	2.0	1.0	4.0	Differentiated	
Sample_20160X255	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X233	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X206	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X165	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X147	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X207	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X235	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X148	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X236	True	1.0	2.0	1.0	2.0	2.0	2.0	Mesenchymal	
Sample_18341X52	True	1.0	1.0	1.0	2.0	2.0	2.0	Mesenchymal	
Sample_18341X42	True	1.0	1.0	1.0	2.0	3.0	2.0	Mesenchymal	C4.DIF
Sample_20160X51	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X52	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X53	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X166	True	2.0	3.0	3.0	1.0	3.0	2.0	Immunoreactive	
Sample_20160X197	True	1.0	1.0	1.0	2.0	1.0	2.0	Mesenchymal	
Sample_20160X237	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X167	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_20160X75	True	1.0	1.0	1.0	2.0	2.0	2.0	Mesenchymal	
Sample_18341X19	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	C2.IMM
Sample_20160X182	True	2.0	3.0	3.0	1.0	3.0	2.0	Immunoreactive	
Sample_20160X238	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_20160X239	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X38	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_20160X198	True	1.0	1.0	1.0	1.0	3.0	2.0	Mesenchymal	
Sample_20160X240	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X208	True	1.0	2.0	4.0	1.0	2.0	4.0	Differentiated	
Sample_20160X241	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X242	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X243	True	1.0	2.0	4.0	1.0	2.0	4.0	Differentiated	
Sample_20160X110	True	2.0	3.0	3.0	1.0	3.0	2.0	Immunoreactive	
Sample_20160X209	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X149	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X150	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X210	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X54	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X55	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X291	True	1.0	1.0	1.0	2.0	3.0	1.0	Mesenchymal	
Sample_20160X211	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X212	True	2.0	2.0	3.0	1.0	3.0	2.0	Immunoreactive	
Sample_20160X244	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X290	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X111	True	1.0	2.0	4.0	1.0	3.0	3.0	Differentiated	
Sample_18341X48	True	2.0	2.0	4.0	1.0	3.0	3.0	Differentiated	C4.DIF
Sample_20160X151	True	2.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_18341X43	True	1.0	1.0	1.0	2.0	3.0	3.0	Mesenchymal	C1.MES
Sample_20160X81	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X213	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X82	True	1.0	1.0	1.0	2.0	2.0	2.0	Mesenchymal	
Sample_20160X14	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_18341X11	True	1.0	1.0	1.0	2.0	1.0	3.0	Mesenchymal	C1.MES
Sample_20160X83	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X214	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X76	True	2.0	3.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X288	True	1.0	1.0	1.0	1.0	3.0	2.0	Mesenchymal	
Sample_20160X152	True	1.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_20160X56	True	2.0	3.0	1.0	1.0	3.0	2.0	Mesenchymal	
Sample_20160X285	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X215	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_20160X245	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_20160X216	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_20160X84	True	1.0	1.0	1.0	2.0	1.0	2.0	Mesenchymal	
Sample_20160X85	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_20160X168	True	1.0	1.0	1.0	1.0	3.0	2.0	Mesenchymal	
Sample_20160X57	True	2.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X217	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_20160X218	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X219	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X86	True	2.0	3.0	3.0	1.0	3.0	2.0	Immunoreactive	
Sample_20160X87	True	1.0	1.0	1.0	2.0	2.0	2.0	Mesenchymal	
Sample_20160X15	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X88	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X220	True	1.0	2.0	4.0	2.0	2.0	4.0	Differentiated	
Sample_20160X89	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X58	True	1.0	1.0	1.0	1.0	3.0	3.0	Mesenchymal	
Sample_20160X246	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_18341X44	True	2.0	1.0	1.0	1.0	3.0	2.0	Mesenchymal	C1.MES
Sample_20160X112	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
Sample_20160X90	True	1.0	2.0	4.0	1.0	2.0	4.0	Differentiated	
Sample_20160X153	True	1.0	1.0	1.0	2.0	3.0	2.0	Mesenchymal	
Sample_20160X169	True	2.0	3.0	3.0	1.0	3.0	3.0	Immunoreactive	
